,ID,Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Latitude,Longitude,ISO2,ISO3,Country_Region,AdminRegion1,AdminRegion2,Country_Population,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,State,AdminRegion1 Pop,County_State,County,Density,CTYPOP,Case Ratio
78585,22920983,06/01/2020,1,0.0,0.0,0.0,1.0,0.0,60.75,-160.5,US,USA,United States,Alaska,Bethel Census Area,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Bethel Census Area,0.4,18386.0,0.005438920918089851
78649,22920968,06/01/2020,79,0.0,2.0,0.0,83.0,0.0,64.8085,-146.5635,US,USA,United States,Alaska,Fairbanks North Star Borough,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Fairbanks North Star Borough,13.3,96849.0,0.0815702795072742
78779,22920973,06/01/2020,17,0.0,1.0,0.0,22.0,0.0,60.13491,-151.7406,US,USA,United States,Alaska,Kenai Peninsula Borough,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Kenai Peninsula Borough,3.4,58708.0,0.02895687129522382
78845,22920969,06/01/2020,15,0.0,0.0,0.0,16.0,0.0,55.493269999999995,-131.0326,US,USA,United States,Alaska,Ketchikan Gateway Borough,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Ketchikan Gateway Borough,2.8,13901.0,0.10790590604992445
78891,22920989,06/01/2020,1,0.0,0.0,0.0,1.0,0.0,57.58964,-153.3545,US,USA,United States,Alaska,Kodiak Island Borough,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Kodiak Island Borough,2.1,12998.0,0.007693491306354824
78956,22920974,06/01/2020,15,0.0,1.0,0.0,19.0,0.0,62.30446,-149.5786,US,USA,United States,Alaska,Matanuska-Susitna Borough,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Matanuska-Susitna Borough,3.6,108317.0,0.013848241734907724
79003,22920987,06/01/2020,1,0.0,0.0,0.0,1.0,0.0,65.02331,-163.4512,US,USA,United States,Alaska,Nome Census Area,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Nome Census Area,0.4,10004.0,0.009996001599360257
79112,22920985,06/01/2020,2,0.0,0.0,0.0,2.0,0.0,55.80896,-133.2323,US,USA,United States,Alaska,Prince of Wales-Hyder Census Area,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Prince of Wales-Hyder Census Area,1.4,6203.0,0.032242463324197966
79172,22920976,06/01/2020,1,0.0,0.0,0.0,2.0,0.0,63.87692,-143.207,US,USA,United States,Alaska,Southeast Fairbanks Census Area,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alaska,731545.0,Alaska,Southeast Fairbanks Census Area,0.3,6893.0,0.01450747134774409
79405,22905712,06/01/2020,233,13.0,5.0,1.0,,,32.534890000000004,-86.64271,US,USA,United States,Alabama,Autauga County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Autauga County,91.8,55869.0,0.41704702070915894
79481,22920992,06/01/2020,42,0.0,1.0,0.0,,,30.688270000000003,-87.74721,US,USA,United States,Alabama,Baldwin County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Baldwin County,114.6,223234.0,0.018814338317639786
79542,22905730,06/01/2020,170,6.0,1.0,0.0,,,31.86955,-85.39315,US,USA,United States,Alabama,Barbour County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Barbour County,31.0,24686.0,0.6886494369278133
79603,22920995,06/01/2020,8,0.0,0.0,0.0,,,32.99862,-87.12643,US,USA,United States,Alabama,Bibb County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Bibb County,36.8,22394.0,0.03572385460391176
79670,22920997,06/01/2020,10,0.0,0.0,0.0,,,33.98085,-86.56739,US,USA,United States,Alabama,Blount County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Blount County,88.9,57826.0,0.017293259087607652
79733,22905759,06/01/2020,209,0.0,6.0,1.0,,,32.10045,-85.71595,US,USA,United States,Alabama,Bullock County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Bullock County,17.5,10101.0,2.069102069102069
79799,22905768,06/01/2020,414,4.0,18.0,0.0,,,31.7525,-86.68021,US,USA,United States,Alabama,Butler County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Butler County,27.0,19448.0,2.128753599341835
79873,22921001,06/01/2020,41,0.0,0.0,0.0,,,33.77138,-85.82611,US,USA,United States,Alabama,Calhoun County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Calhoun County,195.7,113605.0,0.036089960829188854
79948,22921003,06/01/2020,101,0.0,8.0,0.0,,,32.91425,-85.39200000000001,US,USA,United States,Alabama,Chambers County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Chambers County,57.4,33254.0,0.30372286040777047
80014,22921005,06/01/2020,6,0.0,0.0,0.0,,,34.1759,-85.60369,US,USA,United States,Alabama,Cherokee County,330610570.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,Alabama,4903185.0,Alabama,Cherokee County,46.9,26196.0,0.022904260192395786
